zpid,home type,region,value,bed,bath,sqft,address full,address,city,state,zip,status,time on zillow,views,saves,description,type,year built,heating,cooling,parking,hoa,lot,price/sqft,garage spaces,attached garage,stories,major remodel year,monthly cost,school 1,school 2,school 3,lat,lon,api lat,api lon,api link,api zestimate,api zestimate low,api zestimate high,api rent zestimate,api rent zestimate low,api rent zestimate high,date sold,home value,rent value,date available,pets,laundry,deposit & fees,api neighborhood index
02124973,Sold,Med Center,250000.0,2.0,2.0,1260.0,"3300 Bellefontaine St APT 24, Houston, TX 77025",3300 Bellefontaine St APT 24,Houston,TX,77025,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Stylish townhome overlooking green space & pool offers updated 2017 kitchen with new floors, crisp white Shaker cabinets, granite countertops and subway tile backsplash. Living space features gorgeous tile floors & subway tile fireplace. Hardwood floors on stairs and second floor landing. Upstairs master bedroom with high ceilings, walk-in closet & recent carpet. Second bedroom with walk in closet and natural light. Outdoor patio/deck & 2-car garage. Close proximity to Medical Center, Rice Village & Downtown!More",Condo,1984.0,Electric,Central,2.0,311.0,,,,,,,,9.0,7.0,5.0,,,29.703678,-95.42874,http://www.zillow.com/homedetails/3300-Bellefontaine-St-APT-24-Houston-TX-77025/2102124973_zpid/,251667,226500,279350,1483,1186,1691,11/20/19,251544.0,,,,,,
02673940,For Sale,Missouri City,190000.0,4.0,2.0,1743.0,"2315 Stillmeadow Dr, Missouri City, TX 77489",2315 Stillmeadow Dr,Missouri City,TX,77489,For sale,89.0,868.0,61.0,"Fully remodeled 4 bedroom 2 full bath home in a great location! The kitchen features exposed wood shelves, granite counter tops, new stainless appliances including microwave, and new sink and fixtures. The living area features all tile flooring and the bedrooms have new carpet. The master bedroom has a double sink vanity and spacious walk in closet. It also features french doors that lead out onto the deck. The living area has a lovely wood burning fireplace with shelving and space for all your electronics. Not to mention the wet bar! The exterior features all new siding and both interior and exterior have been recently painted! The split bedroom plan adds privacy for all. Come out to tour today!",Single Family,1974.0,Other,Central,2.0,12.0,7148.0,109.0,2.0,Yes,1.0,1974.0,1206.0,3.0,7.0,7.0,,,29.580668,-95.537477,http://www.zillow.com/homedetails/2315-Stillmeadow-Dr-Missouri-City-TX-77489/102673940_zpid/,182775,173636,191914,1500,1395,1590,,,,,,,,
04212696,Sold,Med Center,212000.0,2.0,1.0,1000.0,"1330 Old Spanish Trl, Houston, TX 77054",1330 Old Spanish Trl,Houston,TX,77054,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Gated with 24hr guard. Hardwoods, stain less steel appliances. Cathedral ceiling in livingroom. Well maintained Gym and pool. Walking distance to metro rail, NRG stadium and stores. free cable and waterMore",Multi Family,1995.0,Forced air,Other,Attached Garage,No Data,,,,,,,,5.0,1.0,6.0,,,29.692569,-95.410382,http://www.zillow.com/homedetails/1330-Old-Spanish-Trl-Houston-TX-77054/2104212696_zpid/,231040,205626,258765,1395,1004,1590,05/15/17,230884.0,,,,,,
05346159,Sold,Med Center,242000.0,3.0,3.0,1941.0,"3604 Rebecca St, Houston, TX 77021",3604 Rebecca St,Houston,TX,77021,Sold,,,,"3604 Rebecca St, Houston, TX is a single family home that contains 1,941 sq ft and was built in 2018. It contains 3 bedrooms and 3 bathrooms. This home last sold for $242,000 in November 2019. The Zestimate for this house is $243,507, which has decreased by $4,520 in the last 30 days. The Rent Zestimate for this home is $1,800/mo, which has increased by $161/mo in the last 30 days. More",Single Family,2018.0,Other,Central,No Data,No Data,2657.0,,,,,,,5.0,1.0,1.0,,,29.68265,-95.372359,http://www.zillow.com/homedetails/3604-Rebecca-St-Houston-TX-77021/305346159_zpid/,243635,219272,270435,1600,1328,2336,11/05/19,243507.0,,,,,,
17950343,For Sale,Med Center,93000.0,1.0,1.0,744.0,"2601 Bellefontaine St, Houston, TX 77025",2601 Bellefontaine St,Houston,TX,77025,For sale,233.0,141.0,2.0,"Immaculate one bedroom condo on the third floor that overlooks the pool area. Lots of trees around the balcony for privacy. Minutes from the medical center area. Sky light in the kitchen, fridge included. Tons of closet space. Move in ready with basic cable, water, sewer, and trash all included in the rent! Comes with one covered assigned parking space! Come see this fabulous condo!",Townhouse,1960.0,Forced air,Central,1.0,433.0,3.2,125.0,1.0,,1.0,,1005.0,9.0,7.0,5.0,,,29.702779,-95.419201,http://www.zillow.com/homedetails/2601-Bellefontaine-St-Houston-TX-77025/2117950343_zpid/,88263,80319,92676,1300,1001,1495,,,,,,,,
17950343,For Rent,Med Center,,1.0,1.0,744.0,"2601 Bellefontaine St, Houston, TX 77025",2601 Bellefontaine St,Houston,TX,77025,For sale,233.0,142.0,,"Immaculate one bedroom condo on the third floor that overlooks the pool area. Lots of trees around the balcony for privacy. Minutes from the medical center area. Sky light in the kitchen, fridge included. Tons of closet space. Move in ready with basic cable, water, sewer, and trash all included in the rent! Comes with one covered assigned parking space! Come see this fabulous condo!",Townhouse,1960.0,Forced air,Central,1.0,433.0,3.2,125.0,1.0,,1.0,,,9.0,7.0,5.0,,,29.702779,-95.419201,http://www.zillow.com/homedetails/2601-Bellefontaine-St-Houston-TX-77025/2117950343_zpid/,88263,80319,92676,1300,1001,1495,,,93000.0,,,,,
20012345,For Sale,Med Center,239500.0,1.0,2.0,1160.0,"3300 Bellefontaine St APT 23, Houston, TX 77025",3300 Bellefontaine St APT 23,Houston,TX,77025,For sale,244.0,279.0,3.0,"INVESTOR OPPORTUNITY ONLY - TENANTS IN PLACE. Perfect chance to buy an investment property with tenants already in place! Call for lease terms. Over-sized 1BR/1.5 Bath Townhome located in a quiet, gated community. The first floor greets you with open concept living including a half bath for your convenience. Right off your kitchen you step out to your own private patio that leads to a generous 2 car garage. Upstairs is an over-sized Master suite with a large Bedroom that has two closet. The utility room is upstairs making it a breeze to wash your clothes. All appliances are included! Pet friendly complex. Low HOA.",Condo,1984.0,No Data,No Data,No Data,No Data,,206.0,,,,,1481.0,9.0,7.0,5.0,,,29.703475,-95.4284,http://www.zillow.com/homedetails/3300-Bellefontaine-St-APT-23-Houston-TX-77025/2120012345_zpid/,227418,213773,238789,1400,1204,1638,,,,,,,,
20894136,Sold,Missouri City,74000.0,3.0,2.0,1360.0,"1378 Gentle Bend Dr, Missouri City, TX 77489",1378 Gentle Bend Dr,Missouri City,TX,77489,Sold,,,,"1378 Gentle Bend Dr, Missouri City, TX is a single family home that contains 1,360 sq ft and was built in 2008. It contains 3 bedrooms and 2 bathrooms. This home last sold for $74,000 in April 2018. The Zestimate for this house is $153,471, which has increased by $4,254 in the last 30 days. The Rent Zestimate for this home is $1,400/mo. More",Single Family,2008.0,Other,Central,2.0,No Data,7523.0,,,,,,,3.0,3.0,2.0,,,29.595273,-95.523951,http://www.zillow.com/homedetails/1378-Gentle-Bend-Dr-Missouri-City-TX-77489/120894136_zpid/,153471,138124,167283,1400,1260,1568,04/19/18,153471.0,,,,,,
22502164,Sold,Sugar Land,230000.0,4.0,3.0,2732.0,"4523 Montcliff Bend Ln, Sugar Land, TX 77479",4523 Montcliff Bend Ln,Sugar Land,TX,77479,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.AGGRESSIVE PRICE- Due to Harvey Damage. Phase one of repairs is complete including mold remediation, sheetrock and paint. Brick one story, 4 beds, 3 full bath. Study plus a 3 car garage is situated on a private lot w/views of treed reserve. Kitchen open to family room w/large island, well appointed back splash. Master bath features separate tub & shower. Ceiling fans in all bedrooms. 4th bedroom is wired for optional media room. Covered patio w/gas line & wired for TV.More",Single Family,2013.0,Other,Central,2.0,88.0,6878.0,,,,,,,10.0,10.0,7.0,,,29.528301,-95.564932,http://www.zillow.com/homedetails/4523-Montcliff-Bend-Ln-Sugar-Land-TX-77479/122502164_zpid/,303692,285470,324950,2250,2002,2498,12/27/17,305756.0,,,,,,
27531800,Sold,Sugar Land,200000.0,3.0,1.0,1152.0,"143 2nd St, Sugar Land, TX 77498",143 2nd St,Sugar Land,TX,77498,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Newly remodeled 3 bedroom 1 bath in the heart of old Sugar Land. Within site of elementary and middle schools. High end stainless appliances, granite countertops, all original wood floors and stone flooring in the bathroom.Recently remodeled historic Sugar Land home. High end appliances, granite, wood floors and stone floors. 100 yards to the elementary school and 4 blocks from Sugar Land Middle School.MoreWhat I Love About The HomeClose knit family oriented neighborhood close to everything! Less than 2 miles to Sugar Land City Center, Lakeview Elementary School less than 100 yards, Sugar Land Middle School is 3 blocks and walking distance, baseball, football and city park is 3 blocks, boat access and fishing in Oyster Creek 1 block away.",Single Family,1985.0,Forced air,"Central, Other","Off street, On street",None,6882.0,,,,,,,6.0,7.0,6.0,,,29.624273,-95.631589,http://www.zillow.com/homedetails/143-2nd-St-Sugar-Land-TX-77498/27531800_zpid/,206323,185691,229019,1600,1408,1792,10/15/17,205725.0,,,,,,
